text,bad/good
Municipal schools in Narendra Modi’s constituency set for privatisation,0
"Obscene posters in Ankleshwar dargah,probe team formed",0
"At Panjab University,English students cheat the most",0
Govt may name prosecutor in 2G case on Friday,0
PM approves guidelines for appointing new CVC,0
"Day 3: Anna Hazare wants to talk with PM,Sonia on new Bill",0
"2G scam: CBI to follow money trail to Mauritius,Cyprus",0
School wants good behaviour undertaking from students,0
Gadkari asks BJP to keep its slate clean and fight graft,0
No Marathi question papers for Business Admin (I) exam,0
Anna Hazare: From driver to driving force against corruption,0
"2G: JPC invites suggestions,views on telecom licenses,spectrum",0
Meena’s supporters disrupt traffic on Jaipur-Agra highway,0
"Day 3: Talks fail with govt; fast will continue,says Anna Hazare",0
"Govt may talk to Hazare,PM discusses with Cabinet colleagues",0
Minor boy arrested under PSA in J-K released,0
Surrendered militant in J-K to go through DNA test,0
Victim turned hostile to help actor Shiney Ahuja: Judge,0
Satya Sai Baba’s condition critical but stable,0
Krishna assures BJP of strict vigil on China’s activities in PoK,0
High-security number plates: SC notices to 3 state govts,0
"Minister’s sons drawing govt salaries as father’s PA,pvt secy",0
Pune scamster Hasan Ali lodged in high security ‘anda cell’,0
"NIA takes over probe in Mecca Masjid,Ajmer,Malegaon blast cases",0
Gopal Dass walks a free man after 27 years in Pak jail,0
Manmohan Singh at Hazare’s fast?,0
Anna Hazare announces jail bharo movement on April 13,0
"UP: FIR registered against CMO,contractors",0
Omar for balanced urban development in J-K,0
Separate booth for sex workers in Bengal Assembly polls,0
"Hazare proposes Justices Verma,Hegde as chairman of Lokpal Bill panel",0
J-K govt to create 1496 additional posts in traffic wing,0
Day 3: Sonia Gandhi appeals to Anna Hazare to give up his fast,0
Setback for Modi as SC orders CBI to probe Prajapati case,0
J-K govt orders closure of four brick kilns and a petrol pump,0
Narendra Modi criticises PM’s statement on Hazare’s fast,0
"Hazare steps up campaign,brushes aside Sonia’s appeal",0
"Govt,Hazare talk tough; Lokpal Bill stand-off continues",0
India in 2047 AD: Urban jungle or planned lifestyles?,0
Cleric who termed stone-pelting protests un-Islamic killed in Srinagar blast,0
"‘I am no painter,’ says Mamata after selling works for a crore",0
"Children,housewives,elderly join Hazare’s campaign",0
Stalin’s remark on Jaya’s married status ‘indecent’: AIADMK,0
Sathya Sai Baba showing signs of improvement,0
J&K literacy rate soars to 68%,0
Raja’s relative dies of heart attack,0
Pranab appeals to Hazare to end his fast,0
"Sonia,PM discuss stalemate on Lokpal Bill issue",0
"Cyberspace abuzz with support for Hazare,’Wear Gandhi caps at IPL matches’",0
Law Ministry discloses list of 20 HC CJs who were superseded,0
Govt will introduce Lokpal Bill in Monsoon session: PM,0
"Separatists,Maoists involved in human rights abuses: US report",0
"Black money: SC pulls up ED,govt over threat to petitioner",0
Shed attitude of Bhisma and work like Bhima: Ramdev to PM,0
India highlights problem of ‘state complicity’ in terrorism,0
Babri mosque demolition case to be heard on April 27,0
Sathya Sai Baba continues to be stable,0
"2G: SC overrules govt objection,to order appointment of Lalit as lawyer",0
Trial in drugs abuse case against Rahul Mahajan to restart,0
"Hazare breaks fast,pledges long fight against corruption",0
Deccan take on Royals in battle of former champions,0
Kandhamal riots: Four convicts get 2-year jail term,0
Large number of women in fray for J-K panchayat polls,0
"Aamir Khan,Bollywood support Anna Hazare",0
"DMK,AIADMK fooling people with freebies: Sushma",0
Two IAS officers sentenced to 15-days imprisonment,0
Hazare’s fasting shame for the country: Jaitley,0
"NABARD estimates Rs 3,204 cr credit plan for J-K",0
"CAG defends report on 2G,says CBI findings not final",0
Strike in Kashmir against killing of Shah,0
Congress blames Hazare’s supporters for impasse,0
"BJP leader attacks Sonia Gandhi,calls her ‘liar’",0
50% reservation to women in Panchayat Raj institutions in AP,0
"Hazare to end fast on Saturday,agreement reached with govt",0
"Bollywood,artists back Anna,join anti-corruption brigade",0
Jantar Mantar turns into carnival site as Hazare breaks fast,0
