text,bad/good
"Donald Trump, PM Modi invite each other, pledge to deepen ties",0
"Top stories at 9 am, January 26: India celebrates Republic Day, Dravid declines doctorate, Trump goes ahead with wall plans",0
"In Republic Day address, CM Arvind Kejriwal skips Centre, talks education, health",0
Differently-abled pomegranate cultivator awarded Padma Shri,0
"Haryana: Liquor ban on highways could cost state Rs 2,500 crore",0
Five-year-old girl’s body found inside Gurgaon drain,0
Simultaneous polls: Pranab Mukherjee urges EC to build consensus,0
Bihar police raise alarm over use of AK-47 rifles for murders,0
On gallantry list: Army men who carried out LoC surgical strikes,0
Some ‘unsung heroes’ in Padma list this time,0
"Family ‘not very keen’, Mufti Mohammad Sayeed dropped from Padma list",0
"‘Our pluralistic culture, tolerance still being put to test’",0
Environmentalist Baba Seechewal gets Padma Shri ,0
SYL ROW: INLD to hold dharna in Delhi on February 15,0
BJP wants privilege motion against PAC chief,0
Republic day: UAE contingent to be a part of parade this year,0
"Miles from home in Valley, 60 train to become sports coaches under PM Modi plan",0
"Tamil Nadu merchants urged to boycott Coke, Pepsi from March 1",0
Over 80 Raj Bhavan staff want Meghalaya Governor out,0
Republic Day parade highlights: India displays military might on Rajpath,0
Punjab: Congress expels seven rebels,0
Medal for CBI officer who probed currency cases,0
PM Narendra Modi greets nation on 68th Republic Day,0
Delhi confidential: No Interpretation,0
EC seeks relaxation in cash withdrawal limit,0
NSG’s ‘Black cats’ debut at Republic Day parade,0
"Kashmir: Mobile telephone, internet services not suspended on Republic Day",0
"No compromise on development, says Arunachal Governor Shanmuganathan",0
Republic Day 2017: Tight security in Delhi,0
Niti Aayog’s ATL mission to ‘shape ideas of young minds’,0
AP striving to bring investments; create jobs: Governor,0
Telangana taking steps to lead the pack of cashless states: Governor,0
NIA arrests wanted FICN trafficker from West Bengal,0
Ram temple issue will always be alive: Vinay Katiyar,0
Republic Day 2017: Tripura Governor hoists National Flag,0
"Republic Day parade: Huge crowds at Rajpath, military contingents march",0
Republic Day 2017: LCA fighter jet Tejas debuts at parade,0
Maharashtra civic polls: Governor Vidyasagar Rao appeals people to exercise franchise peacefully,0
Manipur: Two blasts on Republic Day,0
Demonetisation: Withdrawal restrictions likely to go away by February-end,0
Assam: Serial blasts by ULFA(I) on Republic Day,0
"Republic Day: Fight forces seeking to undermine constitutional values, says Sonia Gandhi",0
"Republic Day parade: India displays military might, NSG makes debut",0
"J&K: Ten soldiers killed, several missing as two avalanches hit Gurez Sector, says Army",0
"Assam not frontier, but centre of India and ASEAN: Governor Purohit",0
"Haryana, Punjab, Chandigarh celebrates Republic Day amid rains",0
Russian ambassador to India Alexander Kadakin dies at 67,0
TN CM Panneerselvam hoists national flag,0
Martyred soldier Hangpan Dada’s widow receives Ashok Chakra,0
"Madhya Pradesh: Chief Minister announces total ban on polythene bags, lauds SIMI encounter",0
Hold India ‘accountable’ for its crimes in Kashmir: Pakistan,0
Victoria Memorial should be converted into a museum on British atrocities: Shashi Tharoor,0
India-UAE condemn State-backed use of religion to sponsor terrorism,0
"News bulletin at 4 pm: R-Day parade, death toll rises in Kashmir avalanche, Assam blasts",0
Meghalaya Raj Bhavan staff want Governor out for ‘compromising’ dignity of office,0
Republic day celebrated with enthusiasm in all corners of India,0
Cop who eliminated Veerappan pens book on the forest brigand,0
Three-day Hyderabad Lit Fest begins from Friday,0
Cannot disclose preparedness to handle demonetisation crisis: RBI press,0
"Serial blasts mar R-Day celebrations in Assam, no casualty",0
Jaipur: Lightning strike kills two kids on way to school for R-Day event,0
Jaganmohan Reddy protests at Vizag airport after being denied entry into city,0
"NIA to probe sabotage angle in train derailments in Kanpur, Andhra Pradesh",0
R-Day celebrated across Valley; no untoward incident anywhere,0
BJP leader Keshavanand Giri shot dead by gunmen in Bihar,0
"Government’s priority to provide honest, accountable governance: Kiran Bedi",0
Kerala on course to become fully electrified state: Governor P Sathasivam,0
"Construction work for Kudankulam Nuclear Power Project 3,4 units to begin soon: Scientist",0
Jharkhand Police to seek custody of naxal leader Ranjit Pal,0
Delhi HC asks forest dept to respond on land needed for govt school,0
Indira Gandhi persuaded Zia-ul-Haq to join regional strategy during Afghan crisis: CIA,0
R-Day: Ceremonial artillery fires ‘perfect 21’ in rainy weather,0
Meghalaya sex racket case: Three surrender before a local court,0
"High danger avalanche warning for some areas in Jammu and Kashmir, Himachal Pradesh",0
Ninety Five-year-old rule amended to give one-year extension to Foreign Secratary,0
Meghalaya Governor V Shanmuganathan resigns: Reports,0
Too much to expect with 12 MPs: Sharad Pawar on presidential hopes,0
Congress demands dismissal of Meghalaya governor,0
"Pakistan captures 36 Indian fishermen, seizes 6 boats",0
"Want my daughter, son to join army: widow of Ashok Chakra awardee",0
"Will wait for PM Modi to take call, says CM Sangma on sacking Meghalaya Governor",0
Massive participation in human chain shows people’s resolve for prohibition: Bihar governor,0
Haryana minister directs SDMs to visit areas hit by hailstorm,0
Nigerian among two held for duping Australian national,0
"Thank you for embracing Indians, helping them flourish: President to UAE",0
Congress women activists protest against BJP leader Vinay Katiyar’s remarks,0
Jan Shatabdi incident: Intel agencies informed; cops quiz few people,0
"Six blasts in Assam, 2 in Manipur on Republic Day",0
Burhan Wani encounter: Crack team of Rashtriya Rifles conferred Sena Medal,0
India-UAE to further intensify ties; to increase trade by 60%,0
Change will happen in Maharashta irrespective of who’s with BJP: CM Devendra Fadnavis,0
"Indian, Pakistan troops exchange sweets on Republic Day along LoC in Poonch",0
"Jallikattu protests: Independent probe into police attack on protesters needed, says Prakash Karat",0
Two Maoist-hit district SPs among 43 to get police medal,0
"Naxalism is nearing its end in Chhattisgarh, says Guv Balramji Das Tandon",0
Sri Lanka important for India: Indian envoy,0
Rajasthan: BJP MLA cries conspiracy as man tries self-immolation,0
BSF pilot projects to test border guarding technologies,0
"Jammu-Kashmir Governor grieves death of army men, civilians in avalanches",0
"News update at 9 pm: Sena Medal for three soldiers, Indo-UAE bilateral ties, Mukhtar Ansari rejoins BSP",0
"Top stories at 9 am, January 27: BJP leaders named as ‘independent’ directors in top PSUs, Meghalaya Governor’s resignation, Trump calls for 20% Mexican tariff",0
"Jammu and Kashmir Governor N N Vohra grieves death of army men, civilians in avalanches",0
"68th Republic Day: UAE’s participation reflects deep-rooted Emirati-Indian relations, say Gulf media",0
"Ten soldiers killed in J&K avalanche, patrol missing in another",0
"Morning at Rajpath: Heavy rain lashes capital, parade escapes downpour",0
"Demonetisation: LS Speaker Sumitra Mahajan calls meeting of PAC, other panels",0
Jharkhand cops to seek custody of Maoist couple,0
Bengal: Renowned artist jumps to death,0
"NIA to probe Kanpur, Kuneru rail accidents",0
"Accused in 3 coal cases met CBI ex-chief, then got away: Probe",0
"In Vizag, cops foil beach protest for Andhra special status",0
"Kerala: Crude bombs hurled at BJP offices, party calls for shutdown",0
Delhi Police pats officers’ back for Republic Day security setup,0
Send message to Pakistan: India and UAE slam state use of religion to sponsor terror,0
BJP leaders named as ‘independent’ directors in top PSUs,0
‘Drunk’ doctor held in Bihar for trying to hoist Tricolour,0
Uniform Civil Code can’t be imposed in rush: Nitish Kumar to law panel,0
"Sexual harassment cloud, Meghalaya Governor V Shanmuganathan quits",0
"Shiv Sena calls off Mumbai pact with BJP: You stabbed us, I set you free",0
"Kerala: Bomb hurled at CPI(M) leader’s meeting venue, one injured",0
"Movie cut from Guwahati halls, director gets ULFA chief to issue warning",0
"Morning at Rajpath: At parade, NSG’s Black Cat commandos steal the show",0
"Blackbuck poaching case: I am innocent, being falsely implicated, says Salman Khan as he appears before Jodhpur court today",0
"Russian envoy Alexander Kadakin, a ‘great friend’ of India, dies in Delhi",0
Delhi Confidential: United Show,0
Centre to go extra mile to support Andhra Pradesh: Arun Jaitley,0
Karnataka HC issues bailable arrest warrant against Vijay Mallya,0
Shiv Sena goes solo in Maharasthra polls to keep its house in order,0
Congress women protest against BJP MP Vinay Katiyar over remarks on Priyanka Gandhi,0
Attack on liberal democratic spirit a growing phenomena: Ashok Vajpeyi,0
Anti-social elements infiltrated jallikattu protests: Tamil Nadu CM Panneerselvam,0
Left at the receiving end of right wing violence in Kerala: CPI(M),0
"Increased expenditure on defence detrimental to fight against poverty, say India and Pak legislators",0
Kashmir remains cut off from rest of the country due to snowfall,0
Gujarat: Man held for planting charas at his girlfriend’s house,0
Maharashtra government recalls circular banning religious pictures in offices,0
NGT summons Ghaziabad municipal commissioner over order non-complaince,0
Kerala: Russian tourist jumps to death at Thiruvananthapuram airport,0
Watch Video: Enraged mother flings own toddler down the stairs over property argument,0
SC refuses to entertain PIL for issuing guidelines to restrict transport of beef,0
Kashmir remains cut off from rest of the country due to heavy snowfall,0
"J&K avalanche: Four more bodies recovered, toll reaches 14",0
Budget must be presented after assembly elections: Akhilesh Yadav writes to PM Modi,0
"BJP’s plan in UP to build Ram Mandir, get votes:  Sachin Pilot",0
Jharkhand Police use light aircraft to drop pamphlets over naxal-affected areas to increase awareness,0
BJP Coimbatore vice-president found murdered,0
SC to hear Jallikattu matters on Jan 31,0
"Top stories at 2 pm, January 27: Salman Khan claims innocence in blackbuck case, Sania in Australian Open mixed doubles final",0
"President accepts Shanmuganathan resignation, appoints Banwarilal Purohit as Gov of Meghalaya",0
Florida enlists snake hunters from India to catch pythons,0
"Kashmir avalanches: 4 more bodies found, 14 jawans dead",0
Civil society members rally support for activist Bela Bhatia,0
Jat stir: Section 144 imposed in parts of Rohtak,0
NIA files chargesheet against ISIS suspects from Kerala,0
"Nagaland: Tribal organisations call for state wide Bandh, after govt decides to hold municipal elections",0
"Centre not providing new notes to cooperative banks, will move to SC: Sharad Pawar ",0
India’s inter-service military exercise ‘Tropex’ kicks off,0
PM Modi wishes Chinese people on Year of Rooster,0
Housing sector biggest beneficiary of demonetisation: M Venkaiah Naidu,0
Kashmir avalanche: Soldiers’ remains to sent after weather clears,0
Breaking down news: The motormouth race,0
"Farmer suicides: SC to examine policies of Centre, states",0
Former RSS worker alleges torture by Sangh men,0
"Governors Banwarilal Purohit, PB Acharya to take additional charge of Meghalaya, Arunachal Pradesh",0
WB: Man’s wrist chopped off for protesting against ‘harassment’ of minor cousin,0
"J Dey murder case: He had received calls from Chhota Rajan, claims witness",0
"Sasikala asks AIADMK MPs, MLAs to stay united",0
Hardik Patel resumes quota stir with rally in Patan,0
"Top stories at 9 pm, January 27: PM Modi’s rally in Punjab, Rahul names Amarinder as CM candidate, Nadal beats Dimitrov",0
SC refuses to hear PIL seeking total ban on cow slaughter,0
Probe casteism charges against celebrity chef: rights body to police,0
Delhi court dismisses plea for FIR against AIIMS top officials,0
Bird flu PILs: Gujarat government submits action-taken report,0
Massive protest held against Kambala ban in Karnataka,0
Manipur CM not doing his bit to resolve economic blockade: Javadekar,0
Government jobs for next of kin of those killed in 2016 Jat quota stir ,0
CBI books two for fake Modi website,0
"Top stories at 9 am, Jan 28: Trump signs order on refugees, Malala says she is heartbroken and other news",0
"Duped at least 7 politicians: Delhi police arrest man who posed as Ram Madhav, Bhaiyyaji Joshi",0
Jat agitation: Section 144 in Gurgaon,0
Now it’s 10+6: Government names more BJP members to PSU boards,0
Indian-origin magician faces fraud charges in Singapore,0
Jharkhand police use light aircraft to drop pamphlets with names of rebels,0
Congress slams appointment of BJP leaders on PSU boards: Acche din have come,0
"Was angry with in-laws, says Delhi woman who ‘threw son’",0
Meghalaya Governor resigned only after nudge from Centre,0
"‘IS recruiter’ used invisible internet project to communicate with his handler, says NIA",0
"Met accused who posed as Ram Madhav, Bhaiyyaji Joshi, but he wasn’t my PA: BJP Arunachal chief",0
Delhi Confidential: Last Respects,0
"Demonetisation was a ‘hoax’, it will not kill black money, says Chidambaram",0
Lone teacher to sign Kashmir petition quits Ashoka University,0
"Woman priest held in Gujarat, 2.4 kg gold, Rs 1.26 crore cash found",0
Jat quota stir: Haryana may ask Centre for law against blocking NH,0
"Srinagar cut off, no flight tickets left for Delhi, Mumbai flights over the weekend",0
Bomb hurled at CPM meeting in Kannur,0
"Before resignation under sexual harassment cloud, Meghalaya Governor held interviews, promoted PA",0
"Red Star leader’s arrest: Blockades off, villagers ‘open to talks’ with govt",0
"Salman Khan pleads innocence in blackbuck hunting case, says he was framed",0
"Ganesha idol damaged in Dantewada, cops suspect Maoist hand",0
"Sunanda Pushkar death: Another medical report ‘inconclusive’, probe to focus on her chats",0
Shiv Sena feels ‘wasted’ after quarter century in alliance with BJP,0
Army sets up Whatsapp number for soldiers to directly post problems to General Bipin Rawat,0
Rajasthan: 8-year-old differently-abled girl raped,0
Election Commission gives green signal to next episode of PM Modi’s ‘Mann ki baat’,0
NCC experience gives a glimpse of India’s strengths and diversities: PM Modi,0
"Unseasonal rains affecting paddy harvest, say delta farmers",0
"Attack on Sanjay Leela Bhansali: Will not allow ‘obscenity’ on land of Rajputs, says Karni Sena chief",0
Chain of events that led Army to set up WhatsApp complaint number for troops,0
"Woman beheaded, family members hacked to death in Odisha",0
Tripura CPI-M begins stir against demonetisation,0
"Ludhiana: One killed, AAP candidate among 5 injured in vehicle collision",0
Medical board fails to make any conclusion in report on Sunanda’s death,0
"Srinagar-Jammu National Highway remains closed, supply of essentials hit",0
Gujarat: Four members of family killed in car crash,0
"Fog affect: 20 trains delayed, two rescheduled",0
"Fog hits normal life in Punjab, Haryana, minimum temperature above normal",0
"Delhi: ‘Abandoned’ mortar shell found near Vasant Kunj, NSG called in",0
"Top stories at 2 pm, January 28: 5 soldiers trapped after heavy snowfall in Kupwara, Zuckerberg criticises Trump’s refugee policy and other news",0
Avalanche warning issued for Kashmir Valley and Ladakh,0
"J&K: Five soldiers trapped under snow in Kupwara district rescued alive, says Army",0
Devendra Fadnavis pays tributes to Maharashtra soldiers killed in avalanches,0
"Audi SUV rams into auto in Ghaziabad, 4 dead",0
"Centre committed to upholding freedom of expression, says Prakash Javadekar",0
"Uttar Pradesh soldiers, killed in avalanche, being brought home",0
PM Modi pays tribute to Lala Lajpat Rai on 151st birth anniversary,0
Senior Jammu and Kashmir officials give ‘At Home’ ceremony a miss,0
Govt taking initiatives to ensure 24×7 power supply: J&K Deputy CM Nirmal Singh,0
BJP may use judiciary as a last resort to scrap Article 370: Omar Abdullah,0
"Model code: EC slams MoD, Finance Ministry for taking decisions without asking it",0
Veteran Congressman S M Krishna resigns from party,0
Financial transactions will be shifted on JAM platform: Venkaiah Naidu,0
Godhra station: Woman delivers baby on moving train; youth carry her on a cloth stretcher,0
"Jammu and Kashmir: Over 1 lakh unemployed youth registered with Employment Department, says govt",0
Bomb threat to Coimbatore International Airport being investigated; security tightened,0
"Over 1,700 people availing security cover in Jammu and Kashmir: CM Mehbooba Mufti",0
"Black money stashed in foreign shores, not in India: Arun Shourie",0
Animal Board will not go against Tamil Nadu’s Jallikattu law: Nirmala Sitharaman,0
"Another BSF man posts video, claims liquor meant for force sold to outsiders",0
"Kashmir snowfall heaviest in 20 years, say locals after Valley cut off from rest of India",0
Unity is cornerstone of India’s strength: Prime Minister Narendra Modi,0
"Kiren Rijiju, Tibetan leaders attend US envoy dinner",0
Nagaland Governor takes over the charge of Arunachal Pradesh,0
Unity is cornerstone of India’s strength: PM Narendra Modi,0
Rajya Sabha MP Karan Singh slams attempts to brand Hari Singh as communal,0
Former CEC SY Quraishi praises PM Narendra Modi for talking about poll reforms,0
Two crorepati candidates in fray for panchayat polls in Odisha,0
Karnataka village observes bandh as farmers seek release of water,0
Amartya Sen on demonetisation: Note-ban an undemocratic move akin to unguided missile,0
P Chidambaram on note ban: Not all Jan Dhan accounts were used for money laundering,0
Antodaya Express for general passengers to be flagged off soon,0
Odisha CM writes to PM Modi over Mahanadi dispute,0
Ghaziabad accident: ‘Victim had job interviews lined up’,0
Missing JNU student Najeeb Ahmed’s family claims harassment by Delhi Police,0
"A day in the life of an open cast mine in Jharkhand: No salaries, but happy for the job",0
Manhandling of Sanjay Leela Bhansali ‘highly objectionable’: M Venkaiah Naidu,0
Indian Navy launches search to procure 57 carrier-borne fighter jets,0
Bharat Parv: Enthusiasts head to Red Fort to see tableaux of various Indian states,0
Assam government to develop 19th century peasant revolt hamlet as tourist spot,0
CRPF jawan killed in pressure bomb blast in Chhattisgarh,0
‘Will carry on Jat quota stir till govt assures in written’,0
Manish Sisodia seeks details of social media schemes by Centre,0
Ghaziabad: 4 travelling in auto killed in head-on collision with Audi SUV,0
Assam pays rich tributes to 140 martyrs of 1894 peasants’ revolt,0
"West Bengal: Mob attacks Ausgram police station, 3 cops injured",0
Banwarilal Purohit takes over as Governor-in-charge of Meghalaya,0
Air pollution reduces lifespan and even those burning crops realise this. It will all end soon: Bhure Lal,0
Massive fire breaks out at shopping complex in Srinagar,0
"Fake currency racket busted, three held with counterfeit Rs 2000 notes",0
Telangana government not utilising central funds: Bandaru Dattatreya,0
"Shehla murder case: Interior designer Zahida Pervez, 3 others get life term",0
"Terrorism in J&K a umulative effect of 60 years’ misdoings, mishandling by Nehru: MoS PMO",0
Mamata Banerjee asks police to find Ausgram police station attackers,0
"Top stories at 9 pm, January 28 : BJP unveils UP poll manifesto, PM Modi says give us full majority in Goa, Sanjay Bhansali cancels Jaipur shoot",0
Sushil Modi slams Nitish Kumar’s goverment for depriving students money for cycle purchase,0
Lawyer shot dead in Samastipur,0
